,property_ref,scraped_at,bedrooms,bathrooms,type,area,sub_area,has_bq,is_furnished,in_estate,security,serviced,luxury_features,price
10298,3419403,2026-04-16 00:44:17.030593+00:00,1,1,flat,Lekki,Lekki Phase 2,False,False,True,True,True,0,700000.0
10299,3419390,2026-04-16 00:44:17.032455+00:00,2,2,flat,Ajah,Ilaje,False,False,False,False,True,0,3000000.0
10300,3419381,2026-04-16 00:44:33.059409+00:00,1,1,studio,Lekki,U3 Estate,False,False,True,True,True,1,3500000.0
10301,3419376,2026-04-16 00:44:33.063323+00:00,1,1,mini-flat,Lekki,U3 Estate,False,False,True,True,True,1,4000000.0
10302,3419244,2026-04-16 00:44:33.070578+00:00,1,1,flat,Lekki,Osapa,False,True,True,True,True,1,5000000.0
10303,3419276,2026-04-16 00:44:33.074352+00:00,1,1,mini-flat,Ibeju Lekki,Awoyaya,False,False,False,False,True,0,1800000.0
10304,3419270,2026-04-16 00:44:33.075983+00:00,1,1,flat,Ikeja,Omole Phase 2,False,False,True,True,False,0,4000000.0
10305,3419266,2026-04-16 00:44:33.077600+00:00,4,4,duplex,Lekki,Lekki Phase 1,True,False,True,True,True,0,35000000.0
10306,3419209,2026-04-16 00:44:33.080823+00:00,3,3,flat,Ikoyi,Parkview,False,True,False,False,True,0,30000000.0
10307,3419208,2026-04-16 00:44:33.082445+00:00,4,4,flat,Ikoyi,Ikoyi,False,False,False,False,True,2,45000000.0
10308,3410960,2026-04-16 00:48:55.094849+00:00,1,2,mini-flat,Ibeju Lekki,Bogije,False,False,True,True,True,0,800000.0
10309,3419198,2026-04-16 00:44:33.085752+00:00,2,2,Maisonette,Lekki,Lekki Phase 1,False,False,True,True,True,0,12000000.0
